i,0.0035551582807254556
am,0.008398922402408748
me,0.009909809598040307
yes,0.02138203175185831
my,0.022164583824569678
here,0.0316285731336158
we,0.03192013483728769
did,0.048593552465233884
maybe,0.05237171574678187
think,0.052867097104136035
don't,0.05385591428168617
know,0.06508202421215666
tell,0.0665991902834008
didn't,0.06800228963938179
told,0.06805246226181638
got,0.07133687878232166
understand,0.07389334262809341
thought,0.0745054945054945
wait,0.08389394538979027
do,0.09095298448910616
mr,0.09196534068530918
our,0.09330985915492958
wasn't,0.09380032206119163
must,0.09881965413121054
would,0.10093089142972782
what,0.10503706657483099
went,0.10610200364298725
came,0.10749047820567076
listen,0.10801256873527101
very,0.10966476462196861
wanted,0.11178020323673316
you've,0.11351482741857073
then,0.11352767023457071
wouldn't,0.11391129032258064
fine,0.11651628089446842
god,0.11811846689895471
were,0.11881934719379511
really,0.11962006530127635
going,0.12264226663456136
couldn't,0.12347641759406465
anything,0.12553582363747703
you,0.12930861099671498
believe,0.13203463203463203
want,0.13237019201086622
well,0.132388377037562
leave,0.13348164627363737
who's,0.13375394321766562
tomorrow,0.13722025912838634
remember,0.13787204926445432
yet,0.14002403846153846
sure,0.1448768864177919
crazy,0.14661134163208853
nothing,0.148298399819698
pretty,0.15122199592668026
there,0.15125762456308683
thing,0.1518059675449311
thank,0.15299924069855733
something,0.15759312320916904
minute,0.15762081784386617
wrong,0.15886099662795056
took,0.15904821540388228
why,0.1598326359832636
kind,0.16010498687664043
there's,0.16042491897731365
was,0.16084402266485903
not,0.1658582044971206
had,0.16991128634795466
let,0.1733800350262697
gone,0.17505168849069608
right,0.17747564344917843
yourself,0.18016194331983806
come,0.18067226890756302
course,0.18068867589634363
guys,0.182370820668693
left,0.18386816999132696
alone,0.18618821936357483
never,0.18705941591137965
else,0.19092273068267065
say,0.19125929263347602
police,0.19220308250226656
everybody,0.19325432999088424
doing,0.19394934333958724
look,0.1941346033337511
too,0.1953956834532374
name,0.19698910954516335
now,0.1973753280839895
talking,0.20233050847457626
aren't,0.2055363321799308
stuff,0.20835894283958206
called,0.21012101210121012
town,0.21184320266889073
met,0.2122040072859745
close,0.21614100185528756
could,0.21690040408842406
no,0.2186400725294651
said,0.22147425109390778
exactly,0.22300140252454417
later,0.22986425339366515
us,0.23185129364481286
see,0.23194614443084455
hold,0.23515439429928742
will,0.23707740012644127
seen,0.2379327157484154
trouble,0.2391304347826087
either,0.241701244813278
dollars,0.2419047619047619
been,0.2449952335557674
again,0.24585029752583776
just,0.24752475247524752
truth,0.24853228962818003
bad,0.24966397849462366
figure,0.2517814726840855
it's,0.25296962662023603
tried,0.25298804780876494
already,0.25681405208964264
yours,0.25967894239848915
sense,0.25980392156862747
long,0.2610716238381629
wish,0.26589077887197854
good,0.26777910210568134
guy,0.2688543465745538
bit,0.27120315581854043
sounds,0.2728442728442728
lot,0.27285366701425096
happens,0.2760416666666667
word,0.2762854950115119
idea,0.2767808591625884
point,0.27889273356401384
much,0.28154604016672985
kid,0.2826086956521739
go,0.2833333333333333
done,0.2847843775427177
put,0.2859550561797753
worry,0.2870022539444027
ever,0.29507423992458165
have,0.2956958116193785
talk,0.2978401727861771
this,0.29902617707495754
does,0.30310524869469635
money,0.30780971762910203
last,0.3091390728476821
so,0.31300834339088
lady,0.31657608695652173
dr,0.31746031746031744
sit,0.3251063829787234
should,0.3261477045908184
it,0.32988497217068646
saying,0.33430571761960326
still,0.3356401384083045
known,0.3359746434231379
coming,0.3418932527693857
how,0.3437900128040973
late,0.34562607204116635
rest,0.34570135746606334
picture,0.3469721767594108
happen,0.3487460815047022
ahead,0.3503448275862069
trying,0.3517025089605735
him,0.35372530349916687
beautiful,0.35475352112676056
meet,0.3566621803499327
cut,0.358860195903829
any,0.3623211963589077
lucky,0.36236391912908245
problem,0.3625170998632011
always,0.36282225237449117
fact,0.36342857142857143
soon,0.36929460580912865
six,0.3694620253164557
telling,0.3731481481481482
if,0.37410299704516675
but,0.3780642602142007
run,0.3787969029184038
are,0.38233785269329423
lost,0.3851617995264404
asked,0.38626964433416044
throw,0.3889908256880734
mind,0.3902738046587658
far,0.3904682274247492
sister,0.39076923076923076
where,0.39186806347889225
promise,0.39229671897289586
mouth,0.39332096474953615
all,0.3979908337576964
least,0.3983673469387755
follow,0.40034364261168387
isn't,0.40309850920783397
case,0.40601503759398494
street,0.40717029449423814
half,0.4076858813700919
about,0.40799883512109886
enough,0.4097714736012608
minutes,0.4102167182662539
calling,0.41166936790923825
question,0.41290893015030944
whole,0.4190751445086705
tired,0.4243827160493827
some,0.42494646680942183
whatever,0.4280908326324643
eyes,0.42958459979736574
someone,0.43010752688172044
ask,0.43110454377539714
blow,0.4326530612244898
thanks,0.44271844660194176
move,0.4472573839662447
near,0.4472573839662447
away,0.448111804936069
trust,0.4485294117647059
stop,0.4524200164068909
anyone,0.4534803583735355
back,0.45424450224639396
report,0.45596868884540115
wife,0.4563882063882064
old,0.4581709145427286
seeing,0.4593128390596745
news,0.45934959349593496
york,0.4608695652173913
meant,0.46322067594433397
years,0.46685472496473907
cause,0.4675862068965517
straight,0.46919431279620855
five,0.46935300794551643
place,0.4711686709836571
like,0.4721953020443952
hang,0.4747663551401869
found,0.4758968609865471
bob,0.4764044943820225
little,0.4794392523364486
true,0.48009367681498827
hope,0.481218993621545
once,0.4812925170068027
answer,0.48212351029252437
hit,0.48248686514886163
completely,0.48291571753986334
few,0.48362573099415207
job,0.4887054735013032
stay,0.4895343870140965
matter,0.49005910800644814
waiting,0.4906284454244763
bill,0.49130434782608695
